Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads
SSUAKAL9_S37_L001_R1_001	461.0	17.441333549117978	96993.0
SSUAKDL5_S15_L001_R1_001	447.0	85.00015825288811	134279.0
SSUAKFL10_S7_L001_R1_001	0.0	88.60040554309484	263479.0
SSUBBDL4_S61_L001_R1_001	0.0	10.382052839992458	19821.0
SSUBBFL4_S64_L001_R1_001	0.0	39.63066592053721	276198.0
SSUBCAL4_S47_L001_R1_001	0.0	31.83401487787072	133431.0
SSUBCEL5_S31_L001_R1_001	0.0	44.391060855312	149494.0
SSUBCQL3_S45_L001_R1_001	0.0	11.871970030850596	34480.0
SSUORCL8_S16_L001_R1_001	0.0	88.38853530150577	62633.0
SSUORCL9_S32_L001_R1_001	0.0	88.75552321047981	170739.0
SSUORDL8_S24_L001_R1_001	0.0	88.42462265154101	157998.0
SSUSDAL17_S53_L001_R1_001	0.0	9.675533180052327	48815.0
SSUSDBL5_S40_L001_R1_001	0.0	88.13513071003656	193788.0
SSUSDCL10_S48_L001_R1_001	0.0	86.59979238254904	312000.0
SSUWAAL6_S63_L001_R1_001	0.0	84.49891792207355	301035.0
SSUWABL8_S55_L001_R1_001	0.0	89.66455884082649	320176.0
SSUWAFL8_S8_L001_R1_001	0.0	16.20675566071679	26576.0
