Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads
139_S91_L001_R1_001_trim	171.8	63.2708872800296	143673.0
155_S44_L001_R1_001_trim	172.0	19.713401891013543	42825.0
176_S80_L001_R1_001_trim	172.0	41.53898337936715	42862.0
195_S1_L001_R1_001_trim	0.0	11.920083348654776	5835.0
210_S85_L001_R1_001_trim	0.0	75.56180964069576	35709.0
212_S6_L001_R1_001_trim	0.0	83.28119023567373	84916.0
216_S42_L001_R1_001_trim	0.0	70.96996458577208	95791.0
221_S26_L001_R1_001_trim	0.0	81.75295795921792	58455.0
228_S9_L001_R1_001_trim	0.0	13.780513032685146	13323.0
239_S74_L001_R1_001_trim	0.0	5.6220612997911275	6110.0
242_S21_L001_R1_001_trim	172.0	43.48270947060876	73521.0
244_S45_L001_R1_001_trim	172.0	70.53807328583663	77424.0
247_S86_L001_R1_001_trim	0.0	67.12464668775621	35860.0
258_S81_L001_R1_001_trim	172.0	24.447616967011975	48120.0
259_S51_L001_R1_001_trim	0.0	85.31750996407571	95472.0
265_S52_L001_R1_001_trim	0.0	75.14959391549019	61162.0
267_S64_L001_R1_001_trim	0.0	2.398678414096916	3267.0
269_S88_L001_R1_001_trim	0.0	1.597983941278553	3849.0
274_S17_L001_R1_001_trim	0.0	17.300676918183356	17405.0
276_S41_L001_R1_001_trim	0.0	43.141386774466376	30095.0
278_S93_L001_R1_001_trim	0.0	84.8824920738765	84335.0
286_S75_L001_R1_001_trim	0.0	2.0412867737653313	2568.0
287_S87_L001_R1_001_trim	0.0	22.80995250584816	32178.0
54_S7_L001_R1_001_trim	0.0	65.76255579798627	65706.0
58_S19_L001_R1_001_trim	303.0	69.9111792373593	66589.0
AKAL9_S37_L001_R1_001_trim	461.0	17.441333549117978	96993.0
AKDL5_S15_L001_R1_001_trim	447.0	85.00015825288811	134279.0
AKFL10_S7_L001_R1_001_trim	0.0	88.60040554309484	263479.0
BBDL4_S61_L001_R1_001_trim	0.0	10.382052839992458	19821.0
BBFL4_S64_L001_R1_001_trim	0.0	39.63066592053721	276198.0
BCAL4_S47_L001_R1_001_trim	0.0	31.83401487787072	133431.0
BCEL5_S31_L001_R1_001_trim	0.0	44.391060855312	149494.0
