Sample	Pseudoaligned	Not aligned
139_S91_L001_R1_001_trim	143673.0	83403.0
155_S44_L001_R1_001_trim	42825.0	174413.0
176_S80_L001_R1_001_trim	42862.0	60323.0
195_S1_L001_R1_001_trim	5835.0	43116.0
210_S85_L001_R1_001_trim	35709.0	11549.0
212_S6_L001_R1_001_trim	84916.0	17047.0
216_S42_L001_R1_001_trim	95791.0	39183.0
221_S26_L001_R1_001_trim	58455.0	13047.0
228_S9_L001_R1_001_trim	13323.0	83357.0
239_S74_L001_R1_001_trim	6110.0	102569.0
242_S21_L001_R1_001_trim	73521.0	95560.0
244_S45_L001_R1_001_trim	77424.0	32338.0
247_S86_L001_R1_001_trim	35860.0	17563.0
258_S81_L001_R1_001_trim	48120.0	148709.0
259_S51_L001_R1_001_trim	95472.0	16430.0
265_S52_L001_R1_001_trim	61162.0	20225.0
267_S64_L001_R1_001_trim	3267.0	132933.0
269_S88_L001_R1_001_trim	3849.0	237017.0
274_S17_L001_R1_001_trim	17405.0	83198.0
276_S41_L001_R1_001_trim	30095.0	39664.0
278_S93_L001_R1_001_trim	84335.0	15020.0
286_S75_L001_R1_001_trim	2568.0	123235.0
287_S87_L001_R1_001_trim	32178.0	108892.0
54_S7_L001_R1_001_trim	65706.0	34208.0
58_S19_L001_R1_001_trim	66589.0	28659.0
AKAL9_S37_L001_R1_001_trim	96993.0	459117.0
AKDL5_S15_L001_R1_001_trim	134279.0	23696.0
AKFL10_S7_L001_R1_001_trim	263479.0	33900.0
BBDL4_S61_L001_R1_001_trim	19821.0	171095.0
BBFL4_S64_L001_R1_001_trim	276198.0	420732.0
BCAL4_S47_L001_R1_001_trim	133431.0	285715.0
BCEL5_S31_L001_R1_001_trim	149494.0	187272.0
BCQL3_S45_L001_R1_001_trim	34480.0	255952.0
CB24_S23_L001_R1_001_trim	218453.0	25319.0
CB26_S39_L001_R1_001_trim	190080.0	26478.0
CB39_S56_L001_R1_001_trim	543535.0	68380.0
LA100_S25_L001_R1_001_trim	10148.0	86740.0
LA101_S37_L001_R1_001_trim	47629.0	23547.0
LA102_S49_L001_R1_001_trim	80390.0	12095.0
LA103_S61_L001_R1_001_trim	60426.0	15848.0
LA104_S73_L001_R1_001_trim	42512.0	15447.0
LA105_S85_L001_R1_001_trim	37071.0	15624.0
LA106_S2_L001_R1_001_trim	42608.0	136160.0
LA108_S14_L001_R1_001_trim	59997.0	59238.0
LA110_S26_L001_R1_001_trim	67600.0	16314.0
LA114_S38_L001_R1_001_trim	3537.0	148669.0
LA115_S50_L001_R1_001_trim	956.0	45552.0
LA116_S62_L001_R1_001_trim	2942.0	129994.0
LA118_S74_L001_R1_001_trim	342.0	14247.0
LA121_S86_L001_R1_001_trim	27922.0	24659.0
LA122_S3_L001_R1_001_trim	41685.0	43918.0
LA123_S15_L001_R1_001_trim	40029.0	23838.0
LA124_S27_L001_R1_001_trim	27130.0	77802.0
LA125_S39_L001_R1_001_trim	55010.0	37244.0
LA126_S51_L001_R1_001_trim	25606.0	36071.0
LA127_S63_L001_R1_001_trim	5738.0	88139.0
LA128_S75_L001_R1_001_trim	1950.0	41240.0
LA129_S87_L001_R1_001_trim	66085.0	22824.0
LA130_S4_L001_R1_001_trim	308.0	11110.0
LA132_S16_L001_R1_001_trim	9117.0	41450.0
LA137_S28_L001_R1_001_trim	68968.0	15924.0
LA138_S40_L001_R1_001_trim	1720.0	91319.0
LA141_S52_L001_R1_001_trim	2909.0	117109.0
LA142_S64_L001_R1_001_trim	1341.0	68685.0
LA143_S76_L001_R1_001_trim	1594.0	77596.0
LA145_S88_L001_R1_001_trim	86659.0	25374.0
