Sample	Pseudoaligned	Not aligned
LA146_S5_L001_R1_001_trim	1349.0	77304.0
LA147_S17_L001_R1_001_trim	4687.0	116811.0
LA148_S29_L001_R1_001_trim	1855.0	74885.0
LA149_S41_L001_R1_001_trim	1194.0	60988.0
LA150_S53_L001_R1_001_trim	2.0	114.0
LA151_S65_L001_R1_001_trim	1129.0	64565.0
LA153_S77_L001_R1_001_trim	48371.0	14527.0
LA161_S89_L001_R1_001_trim	32248.0	46007.0
LA162_S6_L001_R1_001_trim	73316.0	12523.0
LA163_S18_L001_R1_001_trim	70576.0	16145.0
LA164_S30_L001_R1_001_trim	3792.0	125699.0
LA165_S42_L001_R1_001_trim	60716.0	14494.0
LA166_S54_L001_R1_001_trim	62624.0	4059.0
LA167_S66_L001_R1_001_trim	83717.0	7925.0
LA168_S78_L001_R1_001_trim	66084.0	25491.0
LA169_S90_L001_R1_001_trim	49284.0	46046.0
LA170_S7_L001_R1_001_trim	1641.0	113519.0
LA171_S19_L001_R1_001_trim	1496.0	69272.0
LA172_S31_L001_R1_001_trim	3826.0	48730.0
LA173_S43_L001_R1_001_trim	2115.0	68818.0
LA175_S55_L001_R1_001_trim	1711.0	39617.0
LA177_S67_L001_R1_001_trim	40047.0	46681.0
LA179_S79_L001_R1_001_trim	37230.0	12148.0
LA180_S91_L001_R1_001_trim	46035.0	33601.0
LA182_S8_L001_R1_001_trim	67868.0	6801.0
LA183_S20_L001_R1_001_trim	64520.0	9796.0
LA184_S32_L001_R1_001_trim	44415.0	9649.0
LA185_S44_L001_R1_001_trim	39539.0	7036.0
LA186_S56_L001_R1_001_trim	25471.0	30148.0
LA187_S68_L001_R1_001_trim	14546.0	14811.0
LA188_S80_L001_R1_001_trim	761.0	45752.0
LA22_S15_L001_R1_001_trim	14165.0	198342.0
LA30_S78_L001_R1_001_trim	18981.0	83067.0
LA31_S5_L001_R1_001_trim	118687.0	10820.0
LA34_S16_L001_R1_001_trim	105531.0	20913.0
LA38_S59_L001_R1_001_trim	2699.0	192645.0
LA39_S69_L001_R1_001_trim	8864.0	148390.0
LA40_S79_L001_R1_001_trim	2621.0	97510.0
LA41_S6_L001_R1_001_trim	5774.0	109641.0
LA45_S28_L001_R1_001_trim	132848.0	12382.0
LA48_S60_L001_R1_001_trim	35845.0	72823.0
LA62_S81_L001_R1_001_trim	6790.0	225734.0
LA63_S8_L001_R1_001_trim	7850.0	165724.0
LA64_S19_L001_R1_001_trim	84627.0	105165.0
LA66_S41_L001_R1_001_trim	12532.0	89090.0
LA67_S52_L001_R1_001_trim	3764.0	147895.0
LA6_S36_L001_R1_001_trim	5707.0	69931.0
LA7_S47_L001_R1_001_trim	7653.0	95540.0
LA80_S42_L001_R1_001_trim	77624.0	19915.0
LA82_S63_L001_R1_001_trim	3788.0	155264.0
LA87_S32_L001_R1_001_trim	4396.0	41344.0
LA89_S54_L001_R1_001_trim	24509.0	179374.0
LA91_S74_L001_R1_001_trim	45219.0	10868.0
LA94_S22_L001_R1_001_trim	75423.0	6836.0
LA95_S33_L001_R1_001_trim	3493.0	48651.0
LA96_S44_L001_R1_001_trim	7496.0	63791.0
LA97_S1_L001_R1_001_trim	34304.0	12852.0
LA98_S13_L001_R1_001_trim	26487.0	36134.0
ORCL8_S16_L001_R1_001_trim	62633.0	8228.0
ORCL9_S32_L001_R1_001_trim	170739.0	21631.0
ORDL8_S24_L001_R1_001_trim	157998.0	20683.0
SDAL17_S53_L001_R1_001_trim	48815.0	455705.0
SDBL5_S40_L001_R1_001_trim	193788.0	26088.0
SDCL10_S48_L001_R1_001_trim	312000.0	48278.0
WAAL6_S63_L001_R1_001_trim	301035.0	55224.0
WABL8_S55_L001_R1_001_trim	320176.0	36906.0
WAFL8_S8_L001_R1_001_trim	26576.0	137405.0
