Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
LA138_S40_L001_R1_001_trim	93039.0	1720.0	91319.0	1.8486871097066822	0.0
LA141_S52_L001_R1_001_trim	120018.0	2909.0	117109.0	2.4238030962022363	0.0
LA142_S64_L001_R1_001_trim	70026.0	1341.0	68685.0	1.915002998886128	0.0
LA143_S76_L001_R1_001_trim	79190.0	1594.0	77596.0	2.0128804141937113	0.0
LA145_S88_L001_R1_001_trim	112033.0	86659.0	25374.0	77.35131613006881	0.0
LA146_S5_L001_R1_001_trim	78653.0	1349.0	77304.0	1.7151284757097631	0.0
LA147_S17_L001_R1_001_trim	121498.0	4687.0	116811.0	3.8576766695748077	223.0
LA148_S29_L001_R1_001_trim	76740.0	1855.0	74885.0	2.417253062288246	0.0
LA149_S41_L001_R1_001_trim	62182.0	1194.0	60988.0	1.9201698240648417	0.0
LA150_S53_L001_R1_001_trim	116.0	2.0	114.0	1.7241379310344827	0.0
LA151_S65_L001_R1_001_trim	65694.0	1129.0	64565.0	1.718573994580936	0.0
LA153_S77_L001_R1_001_trim	62898.0	48371.0	14527.0	76.90387611688766	0.0
LA161_S89_L001_R1_001_trim	78255.0	32248.0	46007.0	41.208868442911	0.0
LA162_S6_L001_R1_001_trim	85839.0	73316.0	12523.0	85.41106024068313	0.0
LA163_S18_L001_R1_001_trim	86721.0	70576.0	16145.0	81.38282538254863	0.0
LA164_S30_L001_R1_001_trim	129491.0	3792.0	125699.0	2.9283888455568343	0.0
LA165_S42_L001_R1_001_trim	75210.0	60716.0	14494.0	80.72862651243186	0.0
LA166_S54_L001_R1_001_trim	66683.0	62624.0	4059.0	93.91299131712731	0.0
LA167_S66_L001_R1_001_trim	91642.0	83717.0	7925.0	91.35221841513716	0.0
LA168_S78_L001_R1_001_trim	91575.0	66084.0	25491.0	72.16380016380016	0.0
LA169_S90_L001_R1_001_trim	95330.0	49284.0	46046.0	51.69831112975978	421.0
LA170_S7_L001_R1_001_trim	115160.0	1641.0	113519.0	1.4249739492879472	0.0
LA171_S19_L001_R1_001_trim	70768.0	1496.0	69272.0	2.113949807822745	0.0
LA172_S31_L001_R1_001_trim	52556.0	3826.0	48730.0	7.279853870157546	0.0
LA173_S43_L001_R1_001_trim	70933.0	2115.0	68818.0	2.981686944017594	0.0
LA175_S55_L001_R1_001_trim	41328.0	1711.0	39617.0	4.14005032907472	0.0
LA177_S67_L001_R1_001_trim	86728.0	40047.0	46681.0	46.17539894843649	0.0
LA179_S79_L001_R1_001_trim	49378.0	37230.0	12148.0	75.39795050427315	0.0
LA180_S91_L001_R1_001_trim	79636.0	46035.0	33601.0	57.80677080717263	0.0
LA182_S8_L001_R1_001_trim	74669.0	67868.0	6801.0	90.8918024883151	0.0
LA183_S20_L001_R1_001_trim	74316.0	64520.0	9796.0	86.81845093923248	0.0
LA184_S32_L001_R1_001_trim	54064.0	44415.0	9649.0	82.15263391535957	0.0
LA185_S44_L001_R1_001_trim	46575.0	39539.0	7036.0	84.89318303811058	0.0
LA186_S56_L001_R1_001_trim	55619.0	25471.0	30148.0	45.79550153724446	0.0
LA187_S68_L001_R1_001_trim	29357.0	14546.0	14811.0	49.54865960418299	0.0
LA188_S80_L001_R1_001_trim	46513.0	761.0	45752.0	1.6361017349988176	0.0
LA22_S15_L001_R1_001_trim	212507.0	14165.0	198342.0	6.665662778167307	0.0
LA30_S78_L001_R1_001_trim	102048.0	18981.0	83067.0	18.60007055503293	0.0
LA31_S5_L001_R1_001_trim	129507.0	118687.0	10820.0	91.64523925347665	0.0
LA34_S16_L001_R1_001_trim	126444.0	105531.0	20913.0	83.46066242763595	0.0
LA38_S59_L001_R1_001_trim	195344.0	2699.0	192645.0	1.381665165042182	0.0
LA39_S69_L001_R1_001_trim	157254.0	8864.0	148390.0	5.6367405598585725	0.0
LA40_S79_L001_R1_001_trim	100131.0	2621.0	97510.0	2.617570982013562	0.0
LA41_S6_L001_R1_001_trim	115415.0	5774.0	109641.0	5.002815925139713	0.0
LA45_S28_L001_R1_001_trim	145230.0	132848.0	12382.0	91.47421331680782	0.0
LA48_S60_L001_R1_001_trim	108668.0	35845.0	72823.0	32.98579158537932	0.0
