target_id	length	eff_length	est_counts	tpm
MF872149.1	1515	1094.96	0	0
MF872148.1	1617	1196.96	0	0
MF872147.1	1610	1189.96	23.4706	2328.13
MF872146.1	1610	1189.96	0	0
MF872145.1	1626	1205.96	0	0
MF872144.1	1637	1216.96	0.0052065	0.504994
MF872143.1	1621	1200.96	0	0
MF872142.1	1635	1214.96	0.00964756	0.937285
MF872141.1	1639	1218.96	0.00281264	0.272359
MF872140.1	1643	1222.96	0.000823314	0.0794638
MF872139.1	1619	1198.96	0	0
MF872138.1	1628	1207.96	0	0
MF872137.1	1621	1200.96	0	0
MF872136.1	1633	1212.96	0	0
MF872135.1	1623	1202.96	0	0
MF872134.1	1551	1130.96	3.2058	334.584
MF872133.1	1504	1083.96	0	0
MF872132.1	1592	1171.96	138.446	13943.9
MF872131.1	1573	1152.96	0	0
MF872130.1	1540	1119.96	11.773	1240.8
MF872129.1	1553	1132.96	0	0
MF872128.1	1397	976.96	23.1081	2791.92
MF872127.1	1584	1163.96	0	0
MF872126.1	1540	1119.96	0.000202064	0.0212962
MF872125.1	1504	1083.96	42.3116	4607.47
KU559379.1	1666	1245.96	7.60541e-07	7.20501e-05
KU559377.1	1663	1242.96	0	0
KU559376.1	1633	1212.96	0	0
KU559375.1	1685	1264.96	0	0
KU559374.1	1613	1192.96	0	0
KU559373.1	1614	1193.96	0	0
KU559372.1	1633	1212.96	0	0
KU559371.1	1633	1212.96	1.05909	103.063
KU559378.1	1731	1310.96	6.79404	611.723
FR875362.2	1685	1264.96	0	0
FR875360.2	1685	1264.96	0	0
FR875359.2	1685	1264.96	0	0
FR875356.2	1693	1272.96	0	0
FR875355.2	1693	1272.96	0	0
FR875352.2	1670	1249.96	0	0
FR875335.2	1670	1249.96	0	0
FR875331.2	1670	1249.96	0	0
FR875314.2	1670	1249.96	0	0
FR875311.2	1670	1249.96	0	0
FR875308.2	1670	1249.96	0	0
JN121408.1	1452	1031.96	0	0
JN121407.1	1451	1030.96	0	0
JN121406.1	1452	1031.96	0	0
JN121405.1	1407	986.96	0	0
JN121404.1	1452	1031.96	0	0
FR875361.1	795	374.96	0	0
FR875358.1	853	432.96	2.75675	751.564
FR875357.1	516	95.96	92.0447	113220
FR875354.1	1451	1030.96	0	0
FR875353.1	1451	1030.96	0	0
FR875351.1	1452	1031.96	0	0
FR875350.1	1451	1030.96	0	0
FR875349.1	1451	1030.96	0	0
FR875348.1	1407	986.96	0	0
FR875347.1	1451	1030.96	0	0
FR875346.1	1451	1030.96	0	0
FR875345.1	1451	1030.96	0	0
FR875344.1	1451	1030.96	0	0
FR875343.1	1451	1030.96	0	0
FR875342.1	1407	986.96	0	0
FR875341.1	1451	1030.96	0	0
FR875340.1	1451	1030.96	0	0
FR875339.1	1408	987.96	0	0
FR875338.1	1451	1030.96	0	0
FR875337.1	1451	1030.96	0	0
FR875336.1	1451	1030.96	0	0
FR875334.1	1449	1028.96	0	0
FR875333.1	1451	1030.96	0	0
FR875332.1	1451	1030.96	0	0
FR875330.1	1451	1030.96	0	0
FR875329.1	1451	1030.96	0	0
FR875328.1	1451	1030.96	0	0
FR875327.1	1408	987.96	0	0
FR875326.1	1450	1029.96	0	0
FR875325.1	1450	1029.96	0	0
FR875324.1	1438	1017.96	0	0
FR875323.1	1450	1029.96	0	0
FR875322.1	1451	1030.96	0	0
FR875321.1	1451	1030.96	0	0
FR875320.1	1409	988.96	0	0
FR875319.1	1451	1030.96	0	0
FR875318.1	1407	986.96	0	0
FR875317.1	1451	1030.96	0	0
FR875316.1	1409	988.96	0	0
FR875315.1	1451	1030.96	0	0
FR875313.1	1386	965.96	3.96831	484.911
FR875312.1	1302	881.96	341.839	45749.7
FR875310.1	1409	988.96	0	0
FR875309.1	1409	988.96	0	0
FR875307.1	1451	1030.96	0	0
FR875306.1	1451	1030.96	0	0
AB022105.1	1621	1200.96	0	0
MF134826.1	1054	633.96	0.000545114	0.101494
MF992087.1	514	93.96	0	0
HM581932.1	1089	668.96	0	0
FJ536742.1	993	572.96	11.4958	2368.27
AB290459.1	1647	1226.96	0	0
AB290458.1	1635	1214.96	0	0
AB290457.1	1648	1227.96	0	0
AB290456.1	1677	1256.96	0	0
AB290455.1	1677	1256.96	0	0
AB290454.1	1644	1223.96	8406.84	810740
AB246795.1	1680	1259.96	0	0
AB246794.1	1680	1259.96	0	0
AB220158.1	1730	1309.96	6.75875	609.01
AB095092.1	1719	1298.96	0	0
AF348522.1	1585	1164.96	1.10889	112.356
EU728657.1	704	283.96	0	0
EU728656.1	704	283.96	0	0
